file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
SRR15214153_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683890_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732729_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683891_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732514_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19736685_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19726169_1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR15214153_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683890_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732729_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19683891_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19726169_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19732514_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19736685_singleton.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0.00	0.00
SRR19726169_other.fastq.gz	FASTQ	DNA	516348	8512378786	2016	16485.7	44765	14341.0	15704.0	17869.0	0	16183	99.21	98.07
SRR19683891_other.fastq.gz	FASTQ	DNA	2730287	22192490145	2000	8128.3	46626	4742.0	7160.0	10575.0	0	9776	98.91	97.40
SRR15214153_other.fastq.gz	FASTQ	DNA	1965108	33312767376	2000	16952.1	52396	12960.0	15963.0	19852.0	0	17616	98.03	95.27
SRR19732729_other.fastq.gz	FASTQ	DNA	1914473	35535370004	2008	18561.4	50558	15000.0	17367.0	21045.0	0	18627	98.26	95.90
SRR19732514_other.fastq.gz	FASTQ	DNA	2126922	35601162605	2006	16738.3	50018	14438.0	15918.0	18250.0	0	16470	98.68	96.76
SRR19736685_other.fastq.gz	FASTQ	DNA	4240693	72100323222	2000	17002.0	53591	14331.0	16109.0	18784.0	0	16851	98.68	96.83
SRR19683890_other.fastq.gz	FASTQ	DNA	3896255	75237772044	2008	19310.3	63490	15551.0	18188.0	22018.0	0	19533	98.28	95.85
