"Mag","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.001","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_vaginalis"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.002","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_agilis"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.004","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unidentified"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.005","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gallinarum"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.007","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus_A","Unidentified"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.009","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_E","Enterococcus_E_cecorum"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.011","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_oris"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.013","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_salivarius"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.014","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia_flexneri"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.017","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri_E"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.018","Bacteria","Actinobacteriota","Actinomycetia","Actinomycetales","Micrococcaceae","Rothia","Rothia_nasimurium_C"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.020","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.021","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_salivarius"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.023","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.025","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_aviarius"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.027","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_ingluviei"
"jejunum.out.p_ctg.gfa.seq.fa.len.circular.fa.035","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus_E","Enterococcus_E_cecorum"
"jejunum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.27","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_salivarius"
"jejunum.out.p_ctg.gfa.seq.fa.len.linear.fa.bin.49","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalicoccus","Faecalicoccus_acidiformans"
